brand;model;type;colour_1;colour_2;capacity;voltage;charging;discharging;description;img_1_url;img_2_url;img_3_url;forum_link;spreadsheet_link
A123Systems;APR18650M1A;18650;Yellow;White;1100mAh Rated;3.30V Nominal;3.60V Maximum 1500mA Standard 4000mA Maximum;2.00V Cutoff 5500mA Standard 30000mA Maximum;Yellow Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/apr18650m1a.jpg;https://secondlifestorage.com/data/attachments/10/10528-88f02d56e098a27c892898db8463ef9c.jpg;https://secondlifestorage.com/data/attachments/13/13242-2c6477ff4f56bac6f7723ad6daab2168.jpg;https://secondlifestorage.com/index.php?threads/celldata.4715/;http://www.batteryspace.com/prod-specs/6612.pdf
ATL;INR18650;18650;Blue;White;2000mAh Rated;3.70V Nominal;;;Blue Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/atlinr18650.jpg;https://secondlifestorage.com/data/attachments/0/866-6c3833733003c4475284526b4acf67d7.jpg;https://secondlifestorage.com/data/attachments/19/19670-7ba4a67c7ff0f89a41f76b839dc1e537.jpg;https://secondlifestorage.com/index.php?threads/celldata.4113/;
BAK;18650C4;18650;Turquoise;White;2200mAh Rated;3.70V Nominal;4.20V Maximum 440mA Standard 2200mA Maximum;3.00V Cutoff 440mA Standard 2200mA Maximum;Turquoise Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/t17DzK2.jpg;https://secondlifestorage.com/data/attachments/0/590-f5b78272a3a092e69120a220ef646cfb.jpg;;https://secondlifestorage.com/index.php?threads/celldata.3273/;http://www.ebike.ir/uploads/GB%20cell%20spec.pdf
BAK;B18650CA;18650;Green (Light);White;2250mAh Rated;3.60V Nominal;4.20V Maximum 1100mA Standard 2250mA Maximum;2.75V Cutoff 1100mA Standard 4500mA Maximum;Green (Light) Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/bakb18650ca.jpg;https://secondlifestorage.com/data/attachments/10/10227-a93cc52e4cd7c54fe8c0a4fe70acee82.jpg;https://secondlifestorage.com/data/attachments/4/4336-1b232632ddc41a463cb64ff368abb15a.jpg;https://secondlifestorage.com/index.php?threads/celldata.3265/;http://www.recell.ro/Files/B18650CA.pdf
BAK;C18650CC;18650;Gray;White;2600mAh Rated;3.70V Nominal;4.20V Maximum 2600mA Standard 2600mA Maximum;3.00V Cutoff 1300mA Standard 5200mA Maximum;Gray Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/OUf8FIO.jpg;https://secondlifestorage.com/data/attachments/1/1630-cdf0646eb679f0d426c783ff11a09cc8.jpg;https://secondlifestorage.com/data/attachments/12/12298-65009bd5e96cd39f2ead0f5f9f263deb.jpg;https://secondlifestorage.com/index.php?threads/celldata.1788/;https://sep.yimg.com/ty/cdn/theshorelinemarket/jetbeam-jl260-18650-2600.pdf
BFN;18650-2200;18650;Blue;Black;2200mAh Rated;3.70V Nominal;4.20V Maximum 440mA Standard 2200mA Maximum;3.00V Cutoff 440mA Standard 6600mA Maximum;Blue Cell Wrapper Black Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/bfn18650.jpg;;;https://secondlifestorage.com/index.php?threads/celldata.1834/;http://en.bfnbattery.com/images/download/18650C-2200.pdf
Cham;CMICR18650F;18650;Blue;Grey;2000mAh Rated;3.70V Nominal;;;Blue Cell Wrapper Grey Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/chamcmicr18650f.jpg;https://secondlifestorage.com/data/attachments/9/9085-632c2ee9fb718ce8f32583a5977f8442.jpg;https://secondlifestorage.com/data/attachments/8/8333-9d5faf1a48b661e4cf69fa0b6e24b90b.jpg;https://secondlifestorage.com/index.php?threads/celldata.6531/;https://cylindrical.en.ec21.com/18650_Cylindrical_Li_ion_Cells--4554155_4554264.html
Cham;CMICR18650F8;18650;Grey;White;2600mAh Rated;3.70V Nominal;;;Grey Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/chamcmicr18650f8.jpg;https://secondlifestorage.com/data/attachments/4/4470-26c6130018f399d43bc064652b4083ea.jpg;https://secondlifestorage.com/data/attachments/14/14320-26a41c7519892e00838f41dc3674e741.jpg;https://secondlifestorage.com/index.php?threads/celldata.6528/;https://cylindrical.en.ec21.com/18650_Cylindrical_Lithium_Li_ion--4554155_4554156.html
DLG;N18650;18650;Blue;White;2200mAh Rated;3.60V Nominal;4.20V Maximum 1100mA Standard 2200mA Maximum;2.75V Cutoff 440mA Standard 4400mA Maximum;Blue Cell Wrapper White Insulator Ring 18650 Form Factor;https://secondlifestorage.com/custom/cell_images/uncell001.jpg;https://secondlifestorage.com/data/attachments/19/19431-8bc8e82df6ec8e14a13eddb7440369d3.jpg;https://secondlifestorage.com/data/attachments/9/9382-b4294d93267d3f1eca0d27c3ecce1119.jpg;https://secondlifestorage.com/index.php?threads/celldata.2585/;http://www.3apower.com/product/html/?59.html
Dyson;INR-20700A;20700;Grey;Black;3000mAh Rated;3.60V Nominal;4.20V Maximum 3000mA Standard 3000mA Maximum;2.50V Cutoff 560mA Standard 35000mA Maximum;Grey Cell Wrapper Black Insulator Ring 20700 Form Factor;https://secondlifestorage.com/custom/cell_images/dysoninr20700a.jpg;https://secondlifestorage.com/data/attachments/0/340-ca95e0edac2d3bab7f6029dd7ade0dce.jpg;https://secondlifestorage.com/data/attachments/10/10518-313b8162644c23d4961e0449f457dbda.jpg;https://secondlifestorage.com/index.php?threads/celldata.6533/;https://images.homedepot-static.com/catalog/pdfImages/3c/3cdc5dff-2f8c-4d6d-8cab-3c7e5f0b70e6.pdf
